Codigo,Ciudad,Departamento,Barrio,Direccion,Area Terreno,Area Construida,Detalle Disponibilidad,Estrato,Precio,Tipo de Inmueble,Datos Adicionales
2330,BOGOTA,CUNDINAMARCA,SANTA MATILDE,CL 10 SUR # 34B-24 LT 2 MZ X-46 (SANTA MATILDE II SECTOR),559804,0,COMERCIALIZABLE CON RESTRICCION,TRES,134280960000000,LOTE VIVIENDA,
2363,BOGOTA,CUNDINAMARCA,TINTALA,KR 84 CON CL 10 LT # 8 DE SAN JUAN DE CASTILLA. (CL 10 80A 54),302079,0,COMERCIALIZABLE CON RESTRICCION,TRES,32857503970000,LOTE COMERCIAL,"ESTE INMUEBLE PRESENTA ZONA DE RESERVA VIAL, QUE NO RESTRINGE SU POSIBILIDAD DE CONSTRUCCIÓN.

 EL LOTE DE TERRENO QUE SE COMERCIALIZA SE ENCUENTRA UBICADO DENTRO DEL PREDIO QUE SE MUESTRA EN EL REGISTRO FOTOGRAFICO"
2575,SOGAMOSO,BOYACÁ,CENTRO,CRA. 10 #11- 78/80 Ó CL 12 # 9 - 77/85 Ó CALLE 12 # 9 - 65/73 - SOGAMOSO,165508,726900,COMERCIALIZABLE CON RESTRICCION,COMERCIAL,147133144000000,CLINICA,ESTE INMUEBLE SE COMERCIALIZARÁ A TRAVÉS DE SUBASTA PÚBLICA
2669,LA CALERA,CUNDINAMARCA,LA CALERA,LOTE 3 PARCELACIÓN LOS CERROS HACIENDA SAN RAFAEL,3000000,0,COMERCIALIZABLE CON RESTRICCION,RURAL,5520000000000,LOTE VIVIENDA,
4408,BOGOTA,CUNDINAMARCA,SUBA,DG 140 # 67 - 30 IN 6 (ZONA DE AFECTACIÓN PLAN VIAL),1774266,0,COMERCIALIZABLE CON RESTRICCION,COMERCIAL,138038206000000,LOTE VIVIENDA,
5017,RICAURTE,CUNDINAMARCA,CONDOMINIO CAMPESTRE MONACO,LT 1 TAMBACU HO GIRARDOT RESORT,2500263,514200,COMERCIALIZABLE FIDUCIA,COMERCIAL,104073361725000,HOTEL,
5287,BOGOTA,CUNDINAMARCA,,"LT # 899/900/901/902/903/904/905/906 CEMENTERIO LA INMACULADA, JARDÍN LOURDES",2240,0,COMERCIALIZABLE,COMERCIAL,514304000000,LOTE COMERCIAL,LOS COSTOS POR CONCEPTO DE TRASPASO DE PROPIEDAD EN EL PARQUE CEMENTERIO Y ADMINISTRACION A PERPETUIDAD DEBERAN SER ASUMIDOS POR EL COMPRADOR.
5616,CHIA,CUNDINAMARCA,VEREDA FONQUETA,FINCA SAN ANTONIO DE LOS VIENTOS - VEREDA FONQUETA CHIA,1113000,57000,COMERCIALIZABLE CON RESTRICCION,RURAL,27855540000000,FINCA,
7394,BITUIMA,CUNDINAMARCA,VEREDA DE CAMBULAR,FINCA BUENAVISTA Y BUENOS AIRES,18000000,0,COMERCIALIZABLE CON RESTRICCION,RURAL,4806000000000,FINCA,
7539,TENJO,CUNDINAMARCA,,CHURUGUACO LA GUACA,0,0,COMERCIALIZABLE CON RESTRICCION,RURAL,6369860000000,FINCA,
